epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,16771.6,0.81149,0.49046,1.04002,0.60283,0.42492,0.47669,0.23266,1.93517,2.03446,1.97966,0.000612981,0.000612981,0.000612981
45,17153.2,0.81023,0.4826,1.04204,0.38204,0.45976,0.43025,0.21724,1.83054,2.13373,1.79906,0.000597754,0.000597754,0.000597754
46,17536,0.80797,0.48287,1.03866,0.56954,0.38907,0.46349,0.23091,1.88377,2.11011,1.94676,0.000582435,0.000582435,0.000582435
47,17919,0.79788,0.48032,1.03485,0.47294,0.40714,0.36852,0.16824,2.04085,2.29128,2.11082,0.00056704,0.00056704,0.00056704
48,18302.4,0.79103,0.47476,1.03346,0.49773,0.47247,0.49135,0.23787,1.86464,1.85344,1.88459,0.000551584,0.000551584,0.000551584
49,18685.5,0.78495,0.47221,1.02929,0.5362,0.41719,0.46013,0.21941,1.90187,2.11697,1.89962,0.000536081,0.000536081,0.000536081
50,19069.4,0.76096,0.45743,1.01809,0.49195,0.50936,0.47047,0.22839,1.90595,1.94154,1.85947,0.000520548,0.000520548,0.000520548
51,19453,0.76388,0.45955,1.01867,0.53124,0.44178,0.46179,0.22296,1.94492,2.13717,1.91967,0.000505,0.000505,0.000505
52,19836.9,0.76966,0.46261,1.02254,0.47905,0.43233,0.47018,0.23491,1.87451,1.91217,1.87875,0.000489452,0.000489452,0.000489452
53,20218.6,0.75361,0.45192,1.01582,0.59559,0.48391,0.52768,0.26613,1.87246,1.69413,1.92333,0.000473919,0.000473919,0.000473919
54,20600.9,0.74581,0.4461,1.01355,0.54127,0.5294,0.52013,0.2523,1.87026,1.70238,1.93038,0.000458416,0.000458416,0.000458416
55,20983.6,0.71734,0.45237,0.99628,0.53611,0.45104,0.48328,0.22767,1.9139,2.02682,1.94824,0.00044296,0.00044296,0.00044296
56,21366.7,0.73443,0.43929,1.00053,0.56914,0.46879,0.52233,0.26613,1.88741,1.79136,1.91333,0.000427565,0.000427565,0.000427565
57,21749.6,0.73163,0.43766,1.00191,0.57771,0.43549,0.48031,0.24093,1.8735,1.94728,1.85892,0.000412246,0.000412246,0.000412246
58,22132.7,0.71006,0.42714,0.99292,0.57088,0.46203,0.5316,0.25292,1.89985,1.77739,1.94236,0.000397019,0.000397019,0.000397019
59,22516.4,0.7279,0.43264,0.99814,0.5557,0.41569,0.49124,0.23054,1.92974,1.94858,1.99629,0.000381899,0.000381899,0.000381899
60,22899.6,0.71767,0.42386,0.99816,0.53634,0.43327,0.5178,0.24289,1.93876,1.95791,2.06471,0.000366899,0.000366899,0.000366899
61,23283.3,0.70431,0.42397,0.98682,0.62962,0.42018,0.55177,0.28037,1.83875,1.65074,1.88558,0.000352037,0.000352037,0.000352037
62,23666.7,0.69677,0.42248,0.98688,0.52906,0.52126,0.53269,0.26132,1.8577,1.80321,1.90467,0.000337325,0.000337325,0.000337325
63,24048.3,0.6986,0.4171,0.99233,0.58258,0.44782,0.53534,0.26735,1.86549,1.78103,1.95205,0.000322778,0.000322778,0.000322778
64,24427.7,0.68329,0.40857,0.98207,0.50841,0.50834,0.53398,0.26655,1.89053,1.69404,1.9658,0.000308412,0.000308412,0.000308412
65,24807.8,0.68677,0.41297,0.98855,0.60614,0.51728,0.56018,0.26461,1.91149,1.65516,1.97508,0.000294239,0.000294239,0.000294239
66,25190.8,0.67185,0.40144,0.97894,0.63424,0.48192,0.56395,0.28665,1.84465,1.64038,1.92423,0.000280275,0.000280275,0.000280275
67,25574.2,0.66059,0.39472,0.97027,0.69739,0.44064,0.56485,0.28014,1.85065,1.6383,1.91971,0.000266532,0.000266532,0.000266532
68,25957.2,0.65964,0.40575,0.96629,0.59633,0.48741,0.55688,0.27848,1.84421,1.62426,1.91933,0.000253024,0.000253024,0.000253024
69,26340.2,0.66378,0.39408,0.97307,0.63093,0.44226,0.51901,0.24946,1.90458,1.75978,1.94416,0.000239766,0.000239766,0.000239766
70,26723.4,0.66338,0.3961,0.97034,0.60212,0.51145,0.55325,0.26773,1.87779,1.6149,1.91206,0.000226769,0.000226769,0.000226769
71,27105.3,0.65395,0.38824,0.96638,0.63076,0.46497,0.55807,0.26938,1.88097,1.64066,1.94687,0.000214046,0.000214046,0.000214046
72,27484.3,0.62749,0.387,0.9527,0.61873,0.4936,0.57456,0.28696,1.88401,1.62279,1.98661,0.000201611,0.000201611,0.000201611
73,27861.5,0.64502,0.38788,0.96907,0.6412,0.46247,0.54707,0.26631,1.90367,1.71549,2.01271,0.000189475,0.000189475,0.000189475
74,28238.4,0.63903,0.38041,0.96379,0.61537,0.44077,0.53781,0.26306,1.89706,1.77412,2.03644,0.000177651,0.000177651,0.000177651
75,28615.3,0.62782,0.38041,0.95841,0.622,0.41742,0.54224,0.27732,1.87265,1.74968,1.97926,0.000166149,0.000166149,0.000166149
76,28991.9,0.6346,0.37727,0.96035,0.58518,0.4241,0.52761,0.2517,1.91479,1.91515,2.01674,0.000154982,0.000154982,0.000154982
77,29368.8,0.623,0.37145,0.95558,0.55168,0.46729,0.52765,0.25459,1.88143,1.85433,1.99201,0.000144161,0.000144161,0.000144161
78,29745.5,0.60855,0.36654,0.94823,0.59501,0.4751,0.5474,0.26939,1.87259,1.74513,1.98458,0.000133695,0.000133695,0.000133695
79,30122.4,0.61573,0.36975,0.95226,0.58178,0.46515,0.55021,0.26599,1.86888,1.76214,1.96526,0.000123596,0.000123596,0.000123596
80,30499.1,0.60729,0.36548,0.95212,0.59957,0.4421,0.55711,0.27365,1.91016,1.73598,1.9858,0.000113873,0.000113873,0.000113873
81,30875.6,0.61116,0.36709,0.95375,0.57241,0.47958,0.56347,0.28252,1.86738,1.63535,1.92251,0.000104537,0.000104537,0.000104537
82,31252.1,0.59291,0.35767,0.94085,0.62421,0.42025,0.54685,0.26975,1.88439,1.76425,1.91634,9.55951e-05,9.55951e-05,9.55951e-05
83,31631,0.59341,0.35515,0.94387,0.67925,0.40543,0.55548,0.27582,1.87427,1.73503,1.91515,8.70577e-05,8.70577e-05,8.70577e-05
84,32013.8,0.59321,0.35633,0.94503,0.54903,0.49775,0.54497,0.26875,1.86113,1.77729,1.91917,7.89327e-05,7.89327e-05,7.89327e-05
85,32397.4,0.58607,0.35628,0.94137,0.52695,0.48837,0.53488,0.26326,1.87607,1.84986,1.92566,7.12282e-05,7.12282e-05,7.12282e-05
86,32779.7,0.58117,0.35085,0.94084,0.54487,0.5151,0.55203,0.273,1.85897,1.75672,1.9247,6.39518e-05,6.39518e-05,6.39518e-05
87,33160.6,0.58775,0.3536,0.94074,0.64923,0.39725,0.53515,0.26719,1.88063,1.88454,1.9408,5.71106e-05,5.71106e-05,5.71106e-05
88,33543.3,0.57959,0.34926,0.9412,0.65661,0.40308,0.5507,0.27323,1.87523,1.77209,1.94917,5.07115e-05,5.07115e-05,5.07115e-05
89,33925.9,0.57495,0.34768,0.93727,0.64053,0.42405,0.55741,0.27682,1.87255,1.77563,1.95782,4.47606e-05,4.47606e-05,4.47606e-05
90,34305.3,0.57134,0.34535,0.93751,0.63612,0.41846,0.53517,0.26436,1.87705,1.84874,1.94836,3.9264e-05,3.9264e-05,3.9264e-05
91,34680.8,0.51178,0.30307,0.90928,0.5663,0.42882,0.49425,0.24847,1.86795,1.95971,2.00848,3.4227e-05,3.4227e-05,3.4227e-05
92,35056.2,0.48114,0.29219,0.90212,0.54635,0.47445,0.52385,0.25901,1.88077,1.89537,1.99529,2.96546e-05,2.96546e-05,2.96546e-05
